Trial_Number,Primary_Voltage_V,Primary_Current_A,Primary_Power_kW,Primary_Power_Factor,Secondary_Voltage_V,Secondary_Current_A,Secondary_Power_kW,Secondary_Power_Factor,Temperature_C,Humidity_percent,Efficiency_percent,Load_Category,Temp_Zone
53,227.68,41.92,7.03,0.737,19.13,43.58,0.7,0.845,196.0,56.7,80.0,Heavy (>70%),Emergency (>180°C)
54,225.9,0.78,0.14,0.807,19.16,87.69,1.36,0.811,147.7,28.8,80.0,Light (<50%),High (120-150°C)
55,227.35,24.23,4.06,0.737,19.03,84.7,1.28,0.796,169.2,48.0,80.0,Light (<50%),Critical (150-180°C)
56,227.81,16.71,3.42,0.899,19.07,68.8,1.08,0.821,163.8,35.8,80.0,Light (<50%),Critical (150-180°C)
57,229.95,16.8,3.18,0.824,19.37,66.61,1.15,0.89,62.9,34.8,80.0,Light (<50%),Normal (<120°C)
58,225.01,24.78,4.57,0.819,19.17,20.83,0.34,0.841,148.6,51.8,80.0,Light (<50%),High (120-150°C)
59,228.31,51.35,9.2,0.785,19.33,58.29,0.99,0.882,170.0,25.0,80.0,Heavy (>70%),Critical (150-180°C)
60,226.44,6.84,1.3,0.838,19.42,84.84,1.32,0.8,112.4,25.6,80.0,Light (<50%),Normal (<120°C)
61,225.46,52.91,10.34,0.867,19.35,85.57,1.49,0.9,143.3,38.9,80.08452846830106,Heavy (>70%),High (120-150°C)
62,229.58,9.98,1.87,0.817,19.38,44.26,0.62,0.718,87.2,43.3,80.8410210219503,Light (<50%),Normal (<120°C)
63,226.44,51.99,10.16,0.863,19.33,40.93,0.6,0.763,82.9,87.9,82.4529811594494,Heavy (>70%),Normal (<120°C)
64,227.71,22.73,3.82,0.738,19.22,68.08,1.08,0.825,158.5,34.2,80.0,Light (<50%),Critical (150-180°C)
65,225.61,53.52,9.93,0.822,19.14,14.25,0.22,0.81,122.5,26.5,82.87239844726867,Heavy (>70%),High (120-150°C)
66,229.16,27.41,5.3,0.843,19.31,24.61,0.41,0.867,196.6,37.1,80.0,Light (<50%),Emergency (>180°C)
67,229.4,47.52,8.23,0.755,19.47,37.34,0.64,0.887,114.8,77.4,82.79670699968801,Heavy (>70%),Normal (<120°C)
68,227.45,8.17,1.5,0.808,19.21,49.67,0.77,0.809,105.8,42.5,80.0,Light (<50%),Normal (<120°C)
69,228.88,2.4,0.47,0.849,19.42,73.03,1.1,0.777,141.8,77.5,80.0,Light (<50%),High (120-150°C)
70,227.95,47.83,9.54,0.875,19.26,47.34,0.72,0.791,152.0,48.7,80.0,Heavy (>70%),Critical (150-180°C)
71,226.69,38.1,7.17,0.83,19.51,76.71,1.31,0.872,92.7,42.2,88.65769729951306,Medium (50-70%),Normal (<120°C)
72,225.34,34.71,6.91,0.884,19.6,67.21,1.04,0.787,44.0,64.4,87.85027218615146,Medium (50-70%),Normal (<120°C)
73,225.23,43.79,7.49,0.759,19.22,13.1,0.2,0.806,124.9,75.5,82.99913110561225,Heavy (>70%),High (120-150°C)
74,226.2,50.21,8.28,0.729,19.28,22.86,0.33,0.751,28.6,76.3,83.23518935081144,Heavy (>70%),Normal (<120°C)
75,226.73,32.32,6.07,0.828,19.25,22.51,0.38,0.869,61.5,46.9,85.30443579053593,Medium (50-70%),Normal (<120°C)
76,229.96,16.24,3.35,0.896,19.39,24.7,0.39,0.813,145.6,72.1,80.0,Light (<50%),High (120-150°C)
77,226.43,43.94,8.17,0.821,19.21,57.3,0.91,0.824,144.3,70.5,88.2802111122189,Heavy (>70%),High (120-150°C)
78,228.23,16.99,3.06,0.788,19.35,65.91,0.92,0.718,78.1,72.3,80.0,Light (<50%),Normal (<120°C)
79,227.65,50.24,9.9,0.866,19.15,74.22,1.13,0.796,166.5,72.3,80.0,Heavy (>70%),Critical (150-180°C)
80,229.83,47.31,9.19,0.845,19.59,87.05,1.47,0.861,90.3,75.3,80.98848514562125,Heavy (>70%),Normal (<120°C)
81,228.36,32.15,6.34,0.864,19.56,9.75,0.14,0.747,31.3,81.9,82.33965112348059,Medium (50-70%),Normal (<120°C)
82,229.12,50.02,8.71,0.76,19.24,12.58,0.22,0.889,79.7,54.5,81.24093127066668,Heavy (>70%),Normal (<120°C)
83,228.35,40.87,8.3,0.889,19.25,66.8,0.94,0.731,98.8,26.9,86.82814886056515,Heavy (>70%),Normal (<120°C)
84,226.85,24.39,4.92,0.89,19.51,8.94,0.15,0.837,121.2,88.4,80.0,Light (<50%),High (120-150°C)
85,229.24,25.01,4.78,0.833,19.39,53.74,0.73,0.704,163.1,37.0,80.0,Light (<50%),Critical (150-180°C)
86,226.04,11.88,2.35,0.874,19.2,13.28,0.22,0.88,27.5,80.1,80.0,Light (<50%),Normal (<120°C)
87,228.31,1.42,0.23,0.703,19.47,21.41,0.32,0.765,57.1,23.7,80.17873789626975,Light (<50%),Normal (<120°C)
88,228.89,28.23,4.67,0.722,19.3,85.09,1.16,0.709,162.5,80.7,80.0,Medium (50-70%),Critical (150-180°C)
89,227.39,22.09,4.2,0.837,19.29,81.87,1.13,0.715,41.0,62.6,80.0,Light (<50%),Normal (<120°C)
90,226.63,54.7,9.99,0.806,19.27,54.49,0.76,0.72,148.4,79.7,80.6150691989825,Heavy (>70%),High (120-150°C)
91,227.26,12.57,2.19,0.768,19.27,37.44,0.52,0.719,100.8,66.6,80.0,Light (<50%),Normal (<120°C)
92,229.16,5.13,0.85,0.719,19.44,73.06,1.15,0.811,128.5,59.3,80.0,Light (<50%),High (120-150°C)
93,228.75,47.75,9.22,0.844,19.58,54.04,0.81,0.77,127.0,34.9,80.80612025580403,Heavy (>70%),High (120-150°C)
94,226.84,41.94,7.75,0.815,19.48,76.06,1.33,0.895,168.6,63.0,80.51838236987899,Heavy (>70%),Critical (150-180°C)
95,226.34,9.92,1.89,0.841,19.19,30.58,0.41,0.701,177.5,59.6,80.0,Light (<50%),Critical (150-180°C)
96,228.73,11.83,2.12,0.784,19.2,33.3,0.54,0.844,161.4,59.7,80.0,Light (<50%),Critical (150-180°C)
97,228.37,14.97,2.84,0.832,19.29,39.78,0.58,0.755,157.6,28.0,80.0,Light (<50%),Critical (150-180°C)
98,228.34,2.5,0.44,0.779,19.36,0.69,0.01,0.76,63.5,29.6,80.0,Light (<50%),Normal (<120°C)
99,225.88,20.91,3.97,0.841,19.3,75.0,1.25,0.861,39.5,80.3,80.0,Light (<50%),Normal (<120°C)
100,227.88,31.54,6.05,0.842,19.25,10.37,0.14,0.704,83.2,76.1,84.94438964389366,Medium (50-70%),Normal (<120°C)
101,229.22,13.38,2.51,0.818,19.31,35.62,0.52,0.762,85.7,43.3,80.0,Light (<50%),Normal (<120°C)
102,229.53,19.22,3.73,0.845,19.49,73.35,1.07,0.747,52.3,33.8,80.0,Light (<50%),Normal (<120°C)
103,228.86,27.18,5.29,0.851,19.46,40.4,0.7,0.885,124.7,64.5,80.0,Light (<50%),High (120-150°C)
104,225.34,24.32,4.17,0.761,19.16,5.06,0.08,0.801,80.7,51.6,80.0,Light (<50%),Normal (<120°C)
105,229.28,33.83,6.21,0.801,19.28,49.89,0.83,0.858,182.0,51.5,80.0,Medium (50-70%),Emergency (>180°C)
106,225.75,3.4,0.55,0.721,19.54,30.91,0.51,0.843,114.3,32.1,80.0,Light (<50%),Normal (<120°C)
107,225.79,20.51,3.51,0.757,19.25,30.45,0.48,0.82,163.5,65.3,80.0,Light (<50%),Critical (150-180°C)
108,228.62,36.11,7.27,0.881,19.52,30.0,0.48,0.817,51.5,44.5,90.72512368445473,Medium (50-70%),Normal (<120°C)
109,229.69,17.03,3.03,0.775,19.47,73.19,1.19,0.834,170.4,71.7,80.0,Light (<50%),Critical (150-180°C)
110,226.81,19.94,3.33,0.736,19.13,85.29,1.3,0.797,66.2,29.6,80.0,Light (<50%),Normal (<120°C)
111,229.18,48.6,7.89,0.708,19.2,68.97,0.96,0.726,92.2,31.4,83.29661749723218,Heavy (>70%),Normal (<120°C)
112,227.19,22.6,4.29,0.835,19.14,39.98,0.58,0.757,156.5,51.4,80.0,Light (<50%),Critical (150-180°C)
113,229.18,20.23,4.12,0.889,19.59,41.55,0.62,0.756,93.1,56.9,81.93519560381029,Light (<50%),Normal (<120°C)
114,226.25,35.26,6.98,0.875,19.33,9.23,0.16,0.869,174.3,40.0,80.0,Medium (50-70%),Critical (150-180°C)
115,227.19,52.05,8.8,0.744,19.27,31.46,0.43,0.705,36.2,55.1,80.14456263658445,Heavy (>70%),Normal (<120°C)
116,229.65,46.15,8.8,0.83,19.47,12.38,0.18,0.757,170.5,68.7,80.0,Heavy (>70%),Critical (150-180°C)
117,225.4,14.08,2.75,0.867,19.33,65.45,1.02,0.806,46.2,40.2,80.0,Light (<50%),Normal (<120°C)
118,227.29,6.1,1.22,0.881,19.36,1.48,0.02,0.803,68.9,30.1,80.0,Light (<50%),Normal (<120°C)
119,228.32,4.71,0.96,0.895,19.04,47.35,0.72,0.801,198.0,58.8,80.0,Light (<50%),Emergency (>180°C)
120,226.27,0.89,0.17,0.858,19.21,65.96,1.05,0.826,160.5,71.5,80.0,Light (<50%),Critical (150-180°C)
121,225.88,42.85,7.68,0.793,19.42,56.86,0.95,0.862,37.9,74.3,85.51840950114557,Heavy (>70%),Normal (<120°C)
122,225.21,51.34,9.28,0.803,19.59,48.87,0.72,0.751,157.3,33.4,80.0,Heavy (>70%),Critical (150-180°C)
123,225.62,20.24,4.01,0.878,19.45,80.52,1.22,0.777,195.5,54.7,80.0,Light (<50%),Emergency (>180°C)
124,228.64,4.34,0.81,0.82,19.49,49.09,0.73,0.764,40.9,66.3,80.0,Light (<50%),Normal (<120°C)
125,226.76,2.33,0.46,0.874,19.21,89.83,1.3,0.755,196.5,86.4,80.0,Light (<50%),Emergency (>180°C)
126,228.4,52.4,8.72,0.729,19.36,70.32,0.96,0.707,38.6,74.5,81.23528448656435,Heavy (>70%),Normal (<120°C)
127,228.4,52.19,9.23,0.774,19.46,51.65,0.81,0.806,95.9,65.5,80.8171318807694,Heavy (>70%),Normal (<120°C)
128,226.93,30.89,5.27,0.752,19.16,40.16,0.69,0.899,76.4,84.2,83.70612805573619,Medium (50-70%),Normal (<120°C)
129,229.49,24.48,4.03,0.718,19.41,76.1,1.13,0.764,87.1,24.5,80.29542731202163,Light (<50%),Normal (<120°C)
130,229.64,35.07,6.92,0.859,19.31,10.92,0.16,0.74,51.0,75.3,83.67098517886576,Medium (50-70%),Normal (<120°C)
131,227.76,33.66,5.5,0.717,19.19,89.96,1.46,0.844,117.9,73.8,86.22701576815913,Medium (50-70%),Normal (<120°C)
132,227.25,37.41,6.54,0.769,19.53,70.22,1.14,0.828,58.5,87.6,84.31248336191703,Medium (50-70%),Normal (<120°C)
133,225.77,9.06,1.56,0.765,19.43,31.14,0.54,0.888,181.8,79.2,80.0,Light (<50%),Emergency (>180°C)
134,226.51,29.34,5.32,0.801,19.1,84.74,1.18,0.731,141.0,70.4,84.46570880197989,Medium (50-70%),High (120-150°C)
135,225.14,2.5,0.47,0.828,19.35,58.6,0.97,0.853,99.1,64.7,80.11995050986322,Light (<50%),Normal (<120°C)
136,227.41,44.26,8.42,0.837,19.18,6.57,0.09,0.712,103.1,53.9,87.27508865533731,Heavy (>70%),Normal (<120°C)
137,228.67,47.34,9.69,0.895,19.08,33.35,0.52,0.812,82.2,52.7,80.7206360149097,Heavy (>70%),Normal (<120°C)
138,226.92,33.85,5.76,0.75,19.52,14.37,0.21,0.765,126.9,41.9,83.12627912519295,Medium (50-70%),High (120-150°C)
139,226.54,1.27,0.26,0.889,19.3,87.0,1.25,0.743,88.1,23.5,80.0,Light (<50%),Normal (<120°C)
140,227.68,46.59,8.34,0.786,19.53,65.48,1.09,0.853,90.3,48.0,86.61059524922852,Heavy (>70%),Normal (<120°C)
141,227.52,42.04,7.23,0.756,19.59,61.24,0.87,0.724,195.7,47.6,80.0,Heavy (>70%),Emergency (>180°C)
142,226.0,28.0,5.06,0.8,19.03,12.33,0.18,0.767,109.0,52.0,85.57920436319402,Medium (50-70%),Normal (<120°C)
143,225.81,54.48,10.43,0.848,19.18,30.27,0.5,0.866,119.1,69.6,82.69141917741905,Heavy (>70%),Normal (<120°C)
144,229.9,32.1,6.34,0.859,19.44,61.92,0.85,0.705,109.1,87.7,85.62420033688892,Medium (50-70%),Normal (<120°C)
145,227.92,9.38,1.77,0.826,19.37,75.71,1.07,0.73,144.8,22.2,80.0,Light (<50%),High (120-150°C)
146,225.76,37.98,6.71,0.782,19.46,82.85,1.41,0.875,154.3,24.4,80.0,Medium (50-70%),Critical (150-180°C)
147,227.63,17.26,2.89,0.735,19.55,30.81,0.46,0.771,160.6,70.5,80.0,Light (<50%),Critical (150-180°C)
148,226.23,30.69,5.17,0.745,19.58,26.79,0.4,0.758,62.9,69.3,84.92621606800701,Medium (50-70%),Normal (<120°C)
149,226.37,6.7,1.27,0.835,19.23,88.21,1.47,0.864,192.1,76.3,80.0,Light (<50%),Emergency (>180°C)
150,227.21,14.1,2.55,0.796,19.12,48.47,0.82,0.887,147.4,29.6,80.0,Light (<50%),High (120-150°C)
151,227.66,35.09,5.67,0.71,19.25,64.56,0.89,0.72,160.3,20.4,81.14509629578846,Medium (50-70%),Critical (150-180°C)
152,229.39,26.26,4.46,0.74,19.58,28.91,0.47,0.829,184.1,26.3,80.0,Light (<50%),Emergency (>180°C)
153,229.57,9.63,1.94,0.876,19.11,82.77,1.42,0.899,95.7,54.7,84.86022950375377,Light (<50%),Normal (<120°C)
154,225.05,31.24,5.07,0.721,19.59,25.61,0.45,0.898,121.0,54.6,84.50843419482143,Medium (50-70%),High (120-150°C)
155,225.56,8.94,1.6,0.792,19.15,16.76,0.27,0.847,163.8,59.7,80.0,Light (<50%),Critical (150-180°C)
156,229.13,28.34,4.66,0.717,19.4,16.63,0.23,0.728,83.0,37.4,84.65210446796475,Medium (50-70%),Normal (<120°C)
157,226.51,39.76,6.32,0.702,19.39,62.35,0.86,0.712,47.5,41.5,87.70067110530677,Heavy (>70%),Normal (<120°C)
158,226.55,6.46,1.29,0.883,19.18,55.32,0.79,0.744,50.1,30.7,80.96770352645508,Light (<50%),Normal (<120°C)
159,227.35,29.56,5.6,0.833,19.13,22.27,0.36,0.851,178.1,25.7,80.0,Medium (50-70%),Critical (150-180°C)
160,225.31,30.12,5.44,0.801,19.34,13.49,0.2,0.766,117.0,28.1,83.68112606209851,Medium (50-70%),Normal (<120°C)
161,229.04,24.94,4.59,0.803,19.27,5.2,0.08,0.792,166.6,70.6,80.0,Light (<50%),Critical (150-180°C)
162,225.23,18.95,3.04,0.713,19.6,84.11,1.18,0.714,188.5,22.2,80.0,Light (<50%),Emergency (>180°C)
163,228.23,23.12,4.74,0.899,19.23,78.27,1.33,0.881,92.0,67.8,80.23330966141745,Light (<50%),Normal (<120°C)
164,225.89,29.55,5.38,0.806,19.44,20.04,0.27,0.701,30.9,40.9,86.42008131212735,Medium (50-70%),Normal (<120°C)
165,226.24,19.04,3.25,0.755,19.56,65.25,0.92,0.723,167.0,49.3,80.0,Light (<50%),Critical (150-180°C)
166,225.5,1.85,0.34,0.82,19.42,4.38,0.07,0.848,96.6,36.4,80.0,Light (<50%),Normal (<120°C)
167,226.45,44.87,8.6,0.846,19.19,53.81,0.86,0.835,82.5,41.1,86.40150286127226,Heavy (>70%),Normal (<120°C)
168,225.3,52.17,10.3,0.876,19.55,56.34,0.86,0.785,112.7,88.1,83.87620337194893,Heavy (>70%),Normal (<120°C)
169,227.08,8.21,1.44,0.775,19.45,42.62,0.72,0.87,79.0,69.5,82.95335856563987,Light (<50%),Normal (<120°C)
170,227.79,7.38,1.26,0.749,19.12,58.2,0.98,0.884,173.6,26.5,80.0,Light (<50%),Critical (150-180°C)
171,228.01,48.05,8.09,0.738,19.46,65.19,1.03,0.812,109.9,80.9,80.94147928960673,Heavy (>70%),Normal (<120°C)
172,229.81,6.45,1.33,0.9,19.29,21.83,0.35,0.821,62.4,84.1,80.0,Light (<50%),Normal (<120°C)
173,226.8,14.39,2.62,0.803,19.3,8.87,0.15,0.896,108.2,78.8,81.54757418239306,Light (<50%),Normal (<120°C)
174,226.11,8.03,1.37,0.752,19.56,52.12,0.8,0.784,53.4,43.1,80.0,Light (<50%),Normal (<120°C)
175,228.42,14.15,2.79,0.864,19.58,57.75,0.9,0.798,56.1,75.6,80.0,Light (<50%),Normal (<120°C)
176,227.71,35.3,5.72,0.712,19.02,76.2,1.29,0.889,142.6,73.5,83.14150869111037,Medium (50-70%),High (120-150°C)
177,225.05,27.82,4.85,0.775,19.37,60.01,0.96,0.823,110.6,54.1,82.99825294052495,Medium (50-70%),Normal (<120°C)
178,226.37,53.76,8.56,0.703,19.49,60.66,1.02,0.861,184.4,27.5,80.0,Heavy (>70%),Emergency (>180°C)
179,229.08,14.7,2.62,0.779,19.22,36.54,0.57,0.813,198.3,35.8,80.0,Light (<50%),Emergency (>180°C)
180,228.8,5.14,0.91,0.776,19.33,5.05,0.07,0.702,56.6,55.0,80.0,Light (<50%),Normal (<120°C)
181,225.48,29.05,4.64,0.709,19.13,78.13,1.31,0.878,109.3,23.3,84.69052959214395,Medium (50-70%),Normal (<120°C)
182,225.16,51.08,8.78,0.763,19.58,52.83,0.88,0.85,150.3,47.9,80.0,Heavy (>70%),Critical (150-180°C)
183,226.95,49.31,8.57,0.766,19.45,12.6,0.22,0.898,152.3,55.1,80.0,Heavy (>70%),Critical (150-180°C)
184,226.7,42.3,8.54,0.891,19.24,69.62,0.95,0.706,74.3,89.5,86.83554383871864,Heavy (>70%),Normal (<120°C)
185,228.4,36.34,5.95,0.717,19.37,71.82,1.17,0.843,41.2,30.8,88.46003468604461,Medium (50-70%),Normal (<120°C)
186,225.53,0.29,0.05,0.762,19.22,24.28,0.34,0.727,59.4,51.4,80.0,Light (<50%),Normal (<120°C)
187,225.47,32.89,5.67,0.765,19.23,26.27,0.39,0.778,41.7,83.1,84.65874877017698,Medium (50-70%),Normal (<120°C)
188,226.9,7.64,1.32,0.76,19.3,5.69,0.09,0.787,99.9,53.9,80.0,Light (<50%),Normal (<120°C)
189,227.97,10.76,1.77,0.721,19.18,85.39,1.25,0.766,134.3,76.3,80.0,Light (<50%),High (120-150°C)
190,229.87,7.49,1.32,0.764,19.57,18.08,0.27,0.763,193.9,87.8,80.0,Light (<50%),Emergency (>180°C)
191,226.21,20.68,4.04,0.863,19.24,10.25,0.16,0.813,129.5,58.2,80.0,Light (<50%),High (120-150°C)
192,228.54,24.12,4.18,0.758,19.42,73.71,1.23,0.859,97.8,55.0,80.27570917389828,Light (<50%),Normal (<120°C)
193,228.95,4.07,0.84,0.898,19.29,36.07,0.56,0.801,186.2,68.4,80.0,Light (<50%),Emergency (>180°C)
194,227.68,35.1,5.73,0.717,19.46,59.18,0.89,0.771,138.9,23.1,85.1080483331888,Medium (50-70%),High (120-150°C)
195,229.83,23.68,3.82,0.702,19.16,45.96,0.71,0.804,127.4,60.3,80.0,Light (<50%),High (120-150°C)
196,227.5,18.97,3.04,0.705,19.06,37.44,0.64,0.892,47.1,85.8,80.0,Light (<50%),Normal (<120°C)
197,227.41,26.19,4.69,0.788,19.42,28.7,0.42,0.76,167.2,28.1,80.0,Light (<50%),Critical (150-180°C)
198,229.92,13.42,2.27,0.735,19.1,50.39,0.86,0.892,67.1,48.4,80.0,Light (<50%),Normal (<120°C)
199,228.07,10.85,2.02,0.818,19.23,63.43,0.9,0.741,157.2,76.6,80.0,Light (<50%),Critical (150-180°C)
200,226.63,25.17,4.29,0.752,19.52,47.49,0.77,0.828,130.3,62.8,80.0,Light (<50%),High (120-150°C)
201,229.07,38.83,6.75,0.759,19.37,7.63,0.11,0.727,47.4,41.4,86.33471731863378,Heavy (>70%),Normal (<120°C)
202,225.69,21.1,3.51,0.737,19.38,62.41,1.0,0.829,200.0,58.8,80.0,Light (<50%),Emergency (>180°C)
203,225.27,19.75,3.12,0.702,19.08,73.37,1.25,0.893,114.4,54.6,80.26609853581905,Light (<50%),Normal (<120°C)
204,225.41,1.7,0.33,0.852,19.18,24.74,0.38,0.808,56.1,52.0,80.12963298587607,Light (<50%),Normal (<120°C)
205,225.57,42.63,8.32,0.865,19.22,74.03,1.01,0.708,151.4,58.2,81.28403648423102,Heavy (>70%),Critical (150-180°C)
206,226.49,54.96,9.83,0.79,19.21,73.51,1.11,0.788,199.0,74.3,80.0,Heavy (>70%),Emergency (>180°C)
207,228.55,34.8,5.83,0.733,19.08,18.6,0.26,0.741,37.3,44.6,84.25216128526557,Medium (50-70%),Normal (<120°C)
208,226.45,14.7,2.9,0.872,19.59,61.14,0.86,0.719,193.6,75.0,80.0,Light (<50%),Emergency (>180°C)
